PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Johnson, Mr. Richard",male,32.48824818305749,0,1,236652,24.32,,S
2,1,3,"O'Brien, Mr. Daniel",male,27.550768274919328,2,5,356113,13.37,F118,S
3,1,2,"Beesley, Miss. Julia",female,16.96199887005298,1,5,218995,5.52,,S
4,0,3,"Miller, Mrs. Emma",female,9.218231430395456,0,0,294313,23.19,E120,C
5,0,1,"Scott, Mr. Michael",male,4.414202308822979,1,1,30661,78.54,,S
6,0,2,"Sloper, Rev. Michael",male,31.425766887782633,1,4,330744,18.69,,C
7,0,3,"Moran, Mr. Frank",male,7.58287319161489,0,0,CA 34085,20.21,E40,S
8,1,1,"Garcia, Col. Henry",male,13.259673871240192,1,5,A/5 106723,141.83,,S
9,0,1,"Cumings, Mr. Patrick",male,26.53847976612581,1,0,306126,82.79,,S
10,1,1,"Anderson, Mrs. Ellen",female,,0,0,34477,37.73,,S
11,0,1,"Wright, Mr. George",male,40.99520582463802,1,1,160788,0.0,,S
12,1,1,"Clark, Miss. Jane",female,0.5,2,2,140133,42.84,,S
13,1,3,"Futrelle, Mr. Andrew",male,28.578100325674793,2,0,242422,6.21,,S
14,0,2,"Johnson, Mr. George",male,,1,2,A/5 271001,22.39,,S
15,0,3,"O'Brien, Mrs. Jessie",female,37.50189494263623,5,1,252842,9.2,,S
16,0,3,"Moore, Mr. William",male,29.095628365346542,4,4,90941,20.57,C4,S
17,0,2,"Palsson, Mr. David",male,58.95966547558196,2,1,145962,13.03,,S
18,0,2,"Johnson, Mr. Ernest",male,32.83659478274326,0,3,PC 127044,20.26,,S
19,0,2,"Hall, Dr. Ida",female,44.97737978903307,1,0,338164,36.39,,Q
20,0,3,"Thompson, Lady. Mabel",female,19.209789271380824,8,0,143339,16.76,F54,S
21,0,2,"Green, Mr. Richard",male,31.45097368974728,0,1,PC 138815,20.22,,S
22,0,3,"Hill, Col. Arthur",male,52.13976637791943,0,1,CA 180845,6.38,,S
23,0,2,"Williams, Capt. Leonard",male,,1,5,224177,12.77,G54,S
24,0,3,"Anderson, Miss. Alice",female,,1,2,A/5 161020,3.64,,S
25,0,2,"Dooley, Ms. Jessie",female,43.92237501249339,1,2,70123,13.97,,S
26,1,2,"Rice, Mr. Alfred",male,18.937671957221298,2,2,47562,30.82,,S
27,0,3,"Sutehall, Mr. Henry",male,0.5,4,5,352224,10.56,E115,S
28,0,3,"Dooley, Mr. Daniel",male,33.40581797882935,3,1,231063,0.0,,Q
29,0,1,"McCarthy, Miss. Marie",female,44.035702955691036,0,0,305606,190.09,,Q
30,0,3,"O'Brien, Mrs. Lillian",female,10.104036409066413,1,2,C.A. 78095,16.52,C34,S
31,0,3,"Bonnell, Mr. Peter",male,39.41818851052141,0,1,STON/O 91925,0.0,,S
32,0,3,"Clark, Mr. Richard",male,39.516012616423296,8,4,243330,8.14,,C
33,0,3,"Allen, Mr. William",male,0.5,1,0,14731,14.22,D25,Q
34,1,2,"Sloper, Miss. Caroline",female,16.1238148301018,0,6,52024,43.16,,S
35,1,1,"Moubarek, Mr. Edward",male,23.960482679390896,2,0,266976,17.51,,S
36,1,2,"Thompson, Miss. Mary",female,27.095451996589063,1,0,42025,33.69,C50,Q
37,0,3,"Braund, Mr. Robert",male,,0,0,78994,28.39,,S
38,0,3,"Sloper, Mr. Harold",male,,0,4,396797,6.08,,S
39,1,2,"Harris, Rev. Samuel",male,53.93650192214034,2,2,124714,17.39,,S
40,0,1,"Hall, Mr. Leonard",male,,1,2,161185,21.82,,Q
41,0,3,"Miller, Dr. Henry",male,,2,0,326188,10.76,,C
42,0,3,"Clark, Miss. Caroline",female,29.103042584768023,1,5,274958,12.6,,C
43,0,3,"Anderson, Capt. Richard",male,37.48781707938658,0,3,PC 195360,20.26,E107,C
44,1,1,"King, Mr. Richard",male,30.448582462312515,4,5,270579,149.41,,S
45,0,2,"Beesley, Mr. Arthur",male,26.71694993299439,1,0,333745,11.27,,C
46,1,1,"Beesley, Mrs. Marie",female,20.27475830427843,8,3,SC/Paris 384015,0.0,G35,S
47,0,3,"Wright, Miss. Julia",female,20.099102740719815,0,2,362087,12.77,,Q
48,0,1,"Chapman, Mr. Leonard",male,21.031778395962284,2,3,300266,101.61,F145,S
49,0,3,"Lewis, Mrs. Ellen",female,,1,0,C.A. 392897,15.74,,C
50,0,2,"Johnson, Mr. Harold",male,15.284388660174086,4,4,364334,16.75,C86,S
51,1,3,"Lewis, Mr. Edward",male,35.40240374031822,4,5,SOTON/OQ 27505,14.37,,S
52,1,3,"Taylor, Mrs. Florence",female,50.188423956589034,0,1,306313,29.67,D103,S
53,1,3,"Thompson, Miss. Emma",female,,1,5,303666,17.2,,S
54,1,1,"Williams, Miss. Clara",female,24.341009830701513,0,0,250836,61.6,,C
55,0,1,"White, Mr. Henry",male,,0,3,4880,53.99,,S
56,1,1,"Harris, Mr. Leonard",male,,1,2,STON/O 44539,73.81,,S
57,0,3,"White, Dr. Lillian",female,,0,0,220057,31.0,,S
58,0,3,"Lewis, Mr. Harold",male,42.00414949989835,3,3,105843,10.98,,Q
59,0,3,"Palsson, Rev. Patrick",male,,0,0,SC/Paris 49784,12.78,,S
60,0,3,"Dooley, Mr. Walter",male,26.266855257021135,3,1,201598,7.69,,C
61,0,3,"Martin, Capt. William",male,,1,0,STON/O 182413,25.09,,C
62,0,1,"Sutehall, Col. Daniel",male,,0,2,277693,201.59,,C
63,1,3,"Wright, Lady. Agnes",female,34.48594251178301,1,1,217398,17.96,,S
64,0,2,"Sloper, Mr. Alexander",male,38.68893181973917,2,1,158255,22.08,B59,C
65,0,2,"Graham, Mr. James",male,13.908338315856833,0,6,194587,21.48,,S
66,0,3,"Hall, Mr. Thomas",male,27.44058862222801,1,4,C.A. 47705,0.0,,C
67,0,1,"McCarthy, Mrs. Grace",female,,1,1,323534,128.71,D94,C
68,1,1,"Allen, Mr. Andrew",male,,2,0,272733,92.05,,S
69,0,3,"Miller, Mr. Thomas",male,29.755144603786217,1,5,PC 336325,17.71,,S
70,1,1,"White, Miss. Bertha",female,6.11836936755703,4,3,124711,41.31,F46,S
71,1,3,"Moubarek, Lady. Martha",female,22.015902342793904,1,0,16994,8.77,,S
72,0,1,"Hall, Countess. Caroline",female,32.95707388814078,1,0,386105,59.34,,S
73,0,2,"Sutehall, Mrs. Julia",female,41.902160959576506,4,0,CA 289783,34.28,E109,C
74,1,2,"Moore, Mr. James",male,,2,2,STON/O 33930,16.08,,S
75,1,2,"Jones, Miss. Bertha",female,61.42092318097528,5,5,114153,48.07,,S
76,1,3,"Braund, Mr. Albert",male,2.2301405018640104,0,0,233911,17.74,,Q
77,1,2,"Nasser, Miss. Ellen",female,21.526347461660436,1,1,STON/O 86366,4.42,,C
78,0,3,"Miller, Miss. Mabel",female,28.496012749354787,0,3,249550,11.59,D117,S
79,0,3,"White, Mrs. Mary",female,26.789137128483468,1,1,336639,5.83,,C
80,0,3,"Futrelle, Miss. Jane",female,,0,0,299845,0.0,,S
81,1,3,"Allen, Mr. William",male,,0,0,STON/O 58241,30.59,,S
82,1,3,"Thompson, Mr. Peter",male,,0,5,C.A. 178577,20.73,,S
83,0,1,"Young, Miss. Rose",female,30.395440966732426,1,0,208397,115.99,,S
84,0,1,"Sandstrom, Mrs. Clara",female,,0,0,106185,93.92,C62,S
85,0,2,"Anderson, Mr. David",male,,0,3,296135,3.03,,Q
86,0,3,"Masselmani, Mr. John",male,6.248237223425765,0,4,329030,7.68,,C
87,1,1,"Palsson, Mr. Frederick",male,19.308721884242452,0,5,320836,134.51,,S
88,1,3,"Williams, Ms. Sarah",female,31.977291430436896,4,0,296929,1.44,,S
89,1,3,"Jackson, Miss. Annie",female,32.05979401527274,1,4,48997,0.0,,S
90,0,2,"O'Brien, Mr. Albert",male,30.299996262494794,4,0,C.A. 334887,18.05,,S
91,0,3,"Nasser, Mr. Frank",male,,0,0,197106,11.44,,C
92,1,1,"Braund, Miss. Florence",female,,5,0,A/5 145825,92.13,,S
93,1,1,"Wright, Miss. Mabel",female,30.08687532810277,0,3,PC 322556,127.71,,S
94,0,3,"Wright, Mr. Owen",male,37.995345286871355,0,0,18509,20.01,,S
95,1,3,"White, Mr. Owen",male,28.469097631715876,1,2,392770,15.85,,S
96,0,3,"White, Mr. David",male,11.671803038111566,4,0,STON/O 194646,26.15,,S
97,0,2,"McCarthy, Mr. Patrick",male,,0,5,15016,1.25,,S
98,0,1,"Moran, Mr. Benjamin",male,41.74735870205082,3,0,28938,114.27,,S
99,0,3,"Jones, Miss. Caroline",female,49.890846362667304,5,0,261710,19.89,,S
100,0,3,"Allen, Mrs. Catherine",female,,2,1,368658,0.0,B14,S
101,0,3,"Wilson, Mr. Ernest",male,33.066261271259506,0,1,134058,0.0,,S
102,1,2,"Andersson, Miss. Ida",female,12.254577270757952,1,0,W./C. 128101,11.3,D71,C
103,0,3,"Masselmani, Mr. David",male,29.6079024267934,0,0,362417,5.72,C149,Q
104,0,2,"Robinson, Mr. William",male,52.352699413281115,4,0,PC 64745,30.79,C109,C
105,1,1,"Heikkinen, Mr. Edward",male,,0,2,394445,47.13,,S
106,0,3,"Graham, Mr. Harold",male,26.691575921083846,1,0,102489,3.58,C106,S
107,0,1,"Robinson, Mrs. Martha",female,38.815065876197636,0,2,214493,47.3,,S
108,1,3,"Carlsson, Miss. Ellen",female,11.293769504073733,1,0,147245,25.3,,Q
109,0,2,"Johnson, Mr. Arthur",male,19.61276502120107,1,1,378218,21.17,C24,S
110,0,1,"White, Mr. Joseph",male,13.979224830176289,0,2,255957,73.24,D26,S
111,0,3,"Martin, Miss. Mary",female,36.50879136605227,1,0,146364,11.79,,S
112,0,3,"Green, Mr. Henry",male,40.05450074594134,0,2,199910,27.21,,S
113,1,3,"Allen, Mr. Patrick",male,27.469522605623684,2,6,C.A. 147692,4.76,,S
114,1,3,"Wright, Miss. Sarah",female,,0,0,STON/O 10472,27.47,,S
115,1,3,"Sandstrom, Mr. Albert",male,29.413638143747903,0,2,A/5 189674,15.32,,C
116,1,3,"Hill, Mr. William",male,22.64459158522979,0,0,366406,11.24,,S
117,1,3,"Young, Mr. Samuel",male,18.155524781940702,3,1,140471,40.51,,C
118,0,1,"Heikkinen, Miss. Anna",female,34.61540843698407,1,0,279676,20.66,D125,S
119,1,3,"Sandstrom, Mr. Benjamin",male,,1,0,44162,9.11,E17,Q
120,0,1,"Wilson, Mr. Harold",male,,0,1,113313,10.05,B95,S
